ticker,name,sector,error,n_years_used,price,revenue,total_assets,current_ratio,total_debt,dividend_years_streak,eps_growth_over_period,P/E,P/B,score,max_score,company_type,na_criteria,fscore,eps_ttm,book_value_per_share,graham_number,margin_of_safety,score_ent,max_score_ent,enterprise_value,ebit,ebit_ev,gross_profitability,net_payout_yield,net_debt_to_ebitda,measurable,data_source,sec_fields,accruals,dollar_volume,next_earnings,share_class_of,crit_1_adequate_size,crit_2_earnings_stability,crit_3_financial_strength,crit_4_returns_capital,crit_5_cheap_ebit_ev,crit_6_gross_profitability,ent_1_financial_condition,ent_2_earnings_stability_5y,ent_3_pays_dividend_now,ent_4_earnings_higher_than_past,ent_5_price_under_120pct_net_assets,f_1_roa_positive,f_2_cfo_positive,f_3_roa_improving,f_4_cfo_above_income,f_5_leverage_down,f_6_current_ratio_up,f_7_no_new_shares,f_8_gross_margin_up,f_9_asset_turnover_up,beneish_m,beneish_flag,altman_z,altman_flag,momentum_12_1,accruals_yf,red_flag,rank_bucket,rank_basis,quality_score,accruals_flag,liquidity_flag
GNTX,Gentex Corporation,Consumer Cyclical,,4,22.58,2534268965.0,2999428544.0,3.03845716793221,3706980.0,24,,11.94709,1.8744812,6,6,industrial,,6,1.74,11.780735107625414,22.633076140676877,0.0023450696823966,4,5,4569348655.0,473935754.0,0.1072,0.2959,0.0888,-0.4136907501651301,True,sec,15,-0.0674,56128212.42,2026-10-23,,True,True,True,True,True,True,True,True,True,True,False,True,True,False,True,,False,True,True,True,-2.83,תקין,8.94,תקין,-0.158,-0.0691,,Consumer Cyclical,ענף,38,,
GRBK,"Green Brick Partners, Inc.",Consumer Cyclical,,4,68.79,2039994000.0,2610751000.0,7.051,323269000.0,0,,10.267164,1.5347031,6,6,industrial,,4,7.07,45.93013002868227,82.2013847664156,0.1631527839162994,3,5,3150332920.0,409443000.0,0.1264,0.2528,0.0293,0.3640228458326357,True,sec,11,0.0499,21029171.790000003,2026-10-28,,True,True,True,True,True,True,True,True,False,True,False,True,True,False,False,True,False,True,False,False,-0.44,חשד למניפולציה,6.14,תקין,0.0464,0.0514,בניש,Consumer Cyclical,ענף,38,,
HRB,"H&R Block, Inc.",Consumer Cyclical,,4,42.19,3760995000.0,3256351000.0,1.133006517854896,1491493000.0,41,,7.4147625,44.59831,6,6,industrial,,7,4.39,0.7637435799576726,11.005073844828209,-2.8336862246341963,3,5,5733375800.0,934499000.0,0.1473,0.5371,0.1392,1.1102010882520998,True,sec,12,-0.0231,90247743.01,2026-11-05,,True,True,True,True,True,True,False,True,True,True,False,True,True,True,True,False,True,True,False,True,-2.67,תקין,3.21,תקין,0.0688,-0.0314,,Consumer Cyclical,ענף,79,,
INGR,Ingredion Incorporated,Consumer Defensive,,4,96.72,7219000000.0,8070000000.0,2.7982525814138204,1783000000.0,29,,10.513043,1.3490293,6,6,industrial,,8,11.18,58.149100257069406,121.82393834986507,0.2060673681207818,4,5,6934548160.0,1016000000.0,0.1459,0.2315,0.0713,0.6744749596122779,True,sec,14,-0.0266,64454885.04,2026-11-03,,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,False,-2.52,תקין,3.7,תקין,-0.1345,-0.0263,,Consumer Defensive,ענף,55,,
KFY,Korn Ferry,Industrials,,4,71.73,2938641000.0,3816876000.0,2.3711338118130776,398778000.0,12,,13.585227,1.8267249,6,6,industrial,,8,5.22,39.26731640086632,68.30021421109319,-0.0502163255053123,4,5,3495993560.0,374743000.0,0.1103,0.6368,0.0563,-0.8815972566814545,True,sec,13,-0.0349,35861772.15,2026-12-08,,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,False,True,-2.63,תקין,3.06,תקין,0.1908,-0.0328,,כלל השוק,ענף,65,,
LCII,LCI Industries,Consumer Cyclical,,4,84.51,4122017000.0,3267902000.0,2.4859338635412307,852590000.0,12,,9.792584,1.4350241,6,6,industrial,,8,7.57,58.89075353734781,106.93530454263514,0.2097090819402319,3,5,2690643632.0,279922000.0,0.0974,0.3087,0.1181,1.585624437558737,True,sec,14,-0.0437,35243036.28,2026-10-29,,True,True,True,True,True,True,True,True,True,False,False,True,True,True,True,False,True,True,True,True,-2.54,תקין,3.17,תקין,0.0887,-0.0449,,Consumer Cyclical,ענף,57,,
LRN,"Stride, Inc.",Consumer Defensive,,4,78.56,2405317000.0,2435552000.0,5.941204981114831,417995000.0,0,,11.002801,1.9768993,6,6,industrial,,7,5.95,39.35482191072065,79.90037744372593,0.0167756084089835,3,5,2724936312.0,360094000.0,0.1605,0.3903,0.0578,-1.1374201443667682,True,sec,15,-0.0595,68047022.24,2026-10-27,,True,True,True,True,True,True,True,True,False,True,False,True,True,True,True,True,True,True,False,False,-2.43,תקין,5.47,תקין,-0.427,-0.0393,,Consumer Defensive,ענף,55,,
LULU,lululemon athletica inc.,Consumer Cyclical,,4,101.3,11102600000.0,8484578000.0,2.1899840757172173,0.0,0,,8.337449,2.3613052,6,6,industrial,,5,13.26,44.95968695456337,108.29491069188518,0.0645913150229813,3,5,9825188824.0,2210615000.0,0.1847,0.7431,0.1051,-0.5134161826156892,True,sec,14,-0.0027,451545965.6,2026-09-03,,True,True,True,True,True,True,True,True,False,True,False,True,True,False,True,False,True,True,False,False,-1.9,אזור אפור,5.19,תקין,-0.3236,-0.0028,,Consumer Cyclical,ענף,66,,
M,Macy's Inc,Consumer Cyclical,,4,22.64,21764000000.0,15726000000.0,1.58969893008211,2433000000.0,24,,8.29304,1.1999152,6,6,industrial,,8,2.32,18.73764258555133,34.043603529598904,0.334970518608118,4,5,7052038848.0,1030000000.0,0.0974,0.5619,0.0756,0.591995841995842,True,sec,13,-0.0501,125749442.56,2026-12-02,,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,False,-1.68,חשד למניפולציה,2.66,אזור אפור,0.3361,-0.0485,בניש,Consumer Cyclical,ענף,59,,
MHO,"M/I Homes, Inc.",Consumer Cyclical,,4,138.75,4417781000.0,4856043000.0,8.108,1003036992.0,0,,11.6401005,1.0849931,6,6,industrial,,5,14.74,107.09111391820478,185.19633920884505,0.2507951259040154,3,5,3772516608.0,506553000.0,0.1469,0.2229,0.0576,0.6967277716112419,True,sec,11,0.0547,31104975.0,2026-10-21,,True,True,True,True,True,True,True,True,False,False,True,True,True,False,False,True,True,True,False,False,,אין נתונים,4.61,תקין,0.062,0.0556,,Consumer Cyclical,ענף,45,,
